# lat,lon,tnum,Layer_1_depth,Layer_2_depth
7.801988216666667597e+01,6.868332200000000398e+01,1.000000000000000000e+00,nan,nan
7.801990636732496398e+01,6.868336936599897058e+01,2.000000000000000000e+00,nan,nan
7.801993097710710856e+01,6.868336084252244689e+01,3.000000000000000000e+00,nan,nan
7.801991546787195375e+01,6.868326744528746985e+01,4.000000000000000000e+00,nan,nan
7.801990678636282439e+01,6.868315371078863052e+01,5.000000000000000000e+00,nan,nan
7.801990524757833612e+01,6.868319444330494150e+01,6.000000000000000000e+00,nan,nan
7.801991720768589289e+01,6.868322271117554578e+01,7.000000000000000000e+00,nan,nan
7.801992912911858014e+01,6.868333370278205052e+01,8.000000000000000000e+00,nan,nan
7.801992396398104290e+01,6.868341562988682369e+01,9.000000000000000000e+00,nan,nan
7.801990875559543781e+01,6.868336246375278620e+01,1.000000000000000000e+01,nan,nan
7.801993302910665307e+01,6.868331935433951685e+01,1.100000000000000000e+01,nan,nan
7.801995945852729619e+01,6.868329804992242771e+01,1.200000000000000000e+01,nan,nan
7.801998605087884187e+01,6.868327927828391921e+01,1.300000000000000000e+01,nan,nan
7.802001262510293600e+01,6.868326284545427995e+01,1.400000000000000000e+01,nan,nan
7.802003950471539895e+01,6.868326437475219848e+01,1.500000000000000000e+01,nan,nan
7.802006594147022156e+01,6.868324958231005439e+01,1.600000000000000000e+01,nan,nan
7.802009104746137780e+01,6.868320946835909524e+01,1.700000000000000000e+01,nan,nan
7.802011790459020801e+01,6.868320891000642803e+01,1.800000000000000000e+01,nan,nan
7.802014471029166032e+01,6.868320156411594724e+01,1.900000000000000000e+01,nan,nan
7.802017149897595516e+01,6.868319088737014511e+01,2.000000000000000000e+01,nan,nan
7.802019825305160339e+01,6.868317963198360587e+01,2.100000000000000000e+01,nan,nan
7.802022442996828033e+01,6.868315018295236030e+01,2.200000000000000000e+01,nan,nan
7.802025013436917789e+01,6.868311238189411938e+01,2.300000000000000000e+01,nan,nan
7.802027627858635128e+01,6.868308256252072397e+01,2.400000000000000000e+01,nan,nan
7.802030181730845015e+01,6.868304246037419603e+01,2.500000000000000000e+01,nan,nan
7.802032584387326608e+01,6.868298485815208210e+01,2.600000000000000000e+01,nan,nan
7.802034902341418388e+01,6.868291933447287079e+01,2.700000000000000000e+01,nan,nan
7.802037206567055705e+01,6.868285265381810234e+01,2.800000000000000000e+01,nan,nan
7.802038830854664297e+01,6.868275036875400019e+01,2.900000000000000000e+01,nan,nan
7.802041136348289285e+01,6.868269185734683902e+01,3.000000000000000000e+01,nan,nan
7.802043444587570775e+01,6.868262598857116075e+01,3.100000000000000000e+01,nan,nan
7.802045760438750222e+01,6.868256073979192422e+01,3.200000000000000000e+01,nan,nan
7.802048158670366718e+01,6.868250225127401620e+01,3.300000000000000000e+01,nan,nan
7.802050295905273458e+01,6.868242425967586939e+01,3.400000000000000000e+01,nan,nan
7.802052378102318642e+01,6.868234238595489671e+01,3.500000000000000000e+01,nan,nan
7.802054430494335691e+01,6.868225876998383228e+01,3.600000000000000000e+01,nan,nan
7.802056472047335944e+01,6.868217454347181672e+01,3.700000000000000000e+01,nan,nan
7.802058505364119867e+01,6.868208985302963754e+01,3.800000000000000000e+01,nan,nan
7.802060549261358346e+01,6.868200575631506410e+01,3.900000000000000000e+01,nan,nan
7.802062596119827731e+01,6.868192182577142546e+01,4.000000000000000000e+01,nan,nan
7.802064775814551467e+01,6.868184605172534418e+01,4.100000000000000000e+01,nan,nan
7.802066919327124594e+01,6.868176798330965482e+01,4.200000000000000000e+01,nan,nan
7.802069018973297432e+01,6.868168713386366164e+01,4.300000000000000000e+01,nan,nan
7.802071155676142666e+01,6.868160861541740303e+01,4.400000000000000000e+01,nan,nan
7.802073323856490106e+01,6.868153207702087570e+01,4.500000000000000000e+01,nan,nan
7.802075393506275702e+01,6.868144979445314391e+01,4.600000000000000000e+01,nan,nan
7.802077363027562740e+01,6.868136167455712382e+01,4.700000000000000000e+01,nan,nan
7.802079518174141981e+01,6.868128488351376859e+01,4.800000000000000000e+01,nan,nan
7.802081755356117299e+01,6.868121309915295569e+01,4.900000000000000000e+01,nan,nan
7.802083901957774970e+01,6.868113516918695893e+01,5.000000000000000000e+01,nan,nan
7.802086010063793253e+01,6.868105487112505614e+01,5.100000000000000000e+01,nan,nan
7.802088082899739163e+01,6.868097243718816003e+01,5.200000000000000000e+01,nan,nan
7.802090127168587230e+01,6.868088835838877060e+01,5.300000000000000000e+01,nan,nan
7.802092343213777781e+01,6.868081576736665284e+01,5.400000000000000000e+01,5.671639999999999873e+02,nan
7.802094626619673079e+01,6.868074754649207136e+01,5.500000000000000000e+01,5.671639999999999873e+02,nan
7.802096818282412016e+01,6.868067257426666572e+01,5.600000000000000000e+01,5.678399999999999181e+02,nan
7.802098893110925815e+01,6.868059052557690336e+01,5.700000000000000000e+01,5.678399999999999181e+02,nan
7.802100896257587692e+01,6.868050418424388681e+01,5.800000000000000000e+01,5.685159999999999627e+02,nan
7.802102880437932697e+01,6.868041682877161236e+01,5.900000000000000000e+01,5.685159999999999627e+02,nan
