# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth
7.804618866666666577e+01,6.847268916666666883e+01,1.000000000000000000e+00,nan,5.191680000000000064e+02,3.210999999999999659e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804620576634756901e+01,6.847260860944537342e+01,2.000000000000000000e+00,8.287759999999999536e+02,5.191680000000000064e+02,3.210999999999999659e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804621443137543224e+01,6.847248675671391993e+01,3.000000000000000000e+00,8.287759999999999536e+02,5.191680000000000064e+02,3.197479999999999905e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804622811536208360e+01,6.847240717019836609e+01,4.000000000000000000e+00,8.294520000000001119e+02,5.191680000000000064e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804624623953218077e+01,6.847248882047873053e+01,5.000000000000000000e+00,8.294520000000001119e+02,5.198439999999999372e+02,3.183959999999999582e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804624925477590125e+01,6.847261137770102835e+01,6.000000000000000000e+00,8.294520000000001119e+02,5.198439999999999372e+02,3.183959999999999582e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804623149004284244e+01,6.847269972657228720e+01,7.000000000000000000e+00,8.294520000000001119e+02,5.198439999999999372e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804620656980763727e+01,6.847274439497090270e+01,8.000000000000000000e+00,8.294520000000001119e+02,5.198439999999999372e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804618011762103436e+01,6.847276283830423438e+01,9.000000000000000000e+00,8.294520000000001119e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804617427462075341e+01,6.847284468371819344e+01,1.000000000000000000e+01,8.294520000000001119e+02,5.205199999999999818e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804618682686590603e+01,6.847278547991483322e+01,1.100000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804620546584266094e+01,6.847269687415928274e+01,1.200000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804622692422177010e+01,6.847262052298785306e+01,1.300000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804623263542391953e+01,6.847258752456278330e+01,1.400000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.784639999999999986e+02,5.543199999999999505e+01,nan
7.804621902724551319e+01,6.847264452333513418e+01,1.500000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804621802908320660e+01,6.847252269341865372e+01,1.600000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804621708323911378e+01,6.847256742879899605e+01,1.700000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804620025765053981e+01,6.847266528654651552e+01,1.800000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804618339715476338e+01,6.847276560923174316e+01,1.900000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804616967524133031e+01,6.847287716633668708e+01,2.000000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804615499380952315e+01,6.847298580018563996e+01,2.100000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804614004604265176e+01,6.847309355039628542e+01,2.200000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.475600000000000023e+01,nan
7.804612670399328067e+01,6.847320618808227266e+01,2.300000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.475600000000000023e+01,nan
7.804611250892656926e+01,6.847331635609708655e+01,2.400000000000000000e+01,8.294520000000001119e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.475600000000000023e+01,nan
7.804609526553396393e+01,6.847341446070747395e+01,2.500000000000000000e+01,8.294520000000001119e+02,5.205199999999999818e+02,3.177199999999999704e+02,1.771119999999999948e+02,5.475600000000000023e+01,nan
7.804607783587620418e+01,6.847351067565035976e+01,2.600000000000000000e+01,8.294520000000001119e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.771119999999999948e+02,5.407999999999999829e+01,nan
7.804606654352602391e+01,6.847362838048283606e+01,2.700000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.771119999999999948e+02,5.407999999999999829e+01,nan
7.804605137801515014e+01,6.847373550707028755e+01,2.800000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.771119999999999948e+02,5.407999999999999829e+01,nan
7.804603624478140489e+01,6.847384234497980060e+01,2.900000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804601616719669721e+01,6.847392861539753994e+01,3.000000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804599570084596394e+01,6.847401271943722634e+01,3.100000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804597781620510943e+01,6.847410958179762019e+01,3.200000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804595982985161129e+01,6.847420600488065645e+01,3.300000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804593814461030377e+01,6.847428254692314908e+01,3.400000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.197479999999999905e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804591774548197236e+01,6.847436646739915034e+01,3.500000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.197479999999999905e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804589874715175313e+01,6.847445823647201735e+01,3.600000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804588030885940952e+01,6.847455264941467590e+01,3.700000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804586020857099982e+01,6.847463847390980618e+01,3.800000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804584000784677755e+01,6.847472389397589154e+01,3.900000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804582051228832995e+01,6.847481313428366434e+01,4.000000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.407999999999999829e+01,nan
7.804579938363683311e+01,6.847489301510822202e+01,4.100000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.190720000000000027e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804577946049609238e+01,6.847497998508096373e+01,4.200000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.183959999999999582e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804576278463946437e+01,6.847508162402618836e+01,4.300000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804574264313629328e+01,6.847516737609144855e+01,4.400000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804572280460016032e+01,6.847525486390787819e+01,4.500000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804570340435410003e+01,6.847534467285180426e+01,4.600000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804568356162168641e+01,6.847543218331217929e+01,4.700000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804566390658318653e+01,6.847552062040954013e+01,4.800000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.610799999999999699e+01,nan
7.804564505337798153e+01,6.847561310302425852e+01,4.900000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.610799999999999699e+01,nan
7.804562370746178601e+01,6.847569191824705115e+01,5.000000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.610799999999999699e+01,nan
7.804560241250824504e+01,6.847577109075346868e+01,5.100000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.610799999999999699e+01,nan
7.804558128950374396e+01,6.847585133581823413e+01,5.200000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804555951771180844e+01,6.847592741074504374e+01,5.300000000000000000e+01,8.287759999999999536e+02,5.205199999999999818e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804553713270385629e+01,6.847599894643499852e+01,5.400000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.197479999999999905e+02,1.777879999999999825e+02,5.340399999999999636e+01,nan
7.804551373849403717e+01,6.847606285256915726e+01,5.500000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.543199999999999505e+01,nan
7.804549204695724995e+01,6.847613928812205586e+01,5.600000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.170439999999999827e+02,1.777879999999999825e+02,5.272799999999999443e+01,nan
7.804547052708782928e+01,6.847621703493116740e+01,5.700000000000000000e+01,8.287759999999999536e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.272799999999999443e+01,nan
7.804544890124664391e+01,6.847629409602720330e+01,5.800000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.177199999999999704e+02,1.777879999999999825e+02,5.272799999999999443e+01,nan
7.804542725001519443e+01,6.847637099059647880e+01,5.900000000000000000e+01,8.281000000000001364e+02,5.225480000000000018e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804540542833528605e+01,6.847644666082761944e+01,6.000000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804538242734686548e+01,6.847651380887447203e+01,6.100000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804535850914348316e+01,6.847657280811456815e+01,6.200000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804533431445254621e+01,6.847662934600782592e+01,6.300000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804531031803176688e+01,6.847668770991990073e+01,6.400000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804528690478106512e+01,6.847675145221485593e+01,6.500000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.177199999999999704e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804526586426494816e+01,6.847683145961055118e+01,6.600000000000000000e+01,8.281000000000001364e+02,5.232239999999999327e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804524539869454713e+01,6.847691553641428186e+01,6.700000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804522407352057201e+01,6.847699452373632312e+01,6.800000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804520131902999935e+01,6.847706354291004516e+01,6.900000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804518128990331149e+01,6.847714883752992421e+01,7.000000000000000000e+01,8.281000000000001364e+02,5.205199999999999818e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.272799999999999443e+01,nan
7.804516220599683152e+01,6.847724010181208598e+01,7.100000000000000000e+01,8.281000000000001364e+02,5.211960000000000264e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804514194360460522e+01,6.847732535678314036e+01,7.200000000000000000e+01,8.281000000000001364e+02,5.218719999999999573e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804512531293427458e+01,6.847742701231747731e+01,7.300000000000000000e+01,8.274239999999999782e+02,5.232239999999999327e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.475600000000000023e+01,nan
7.804510770792219887e+01,6.847752463622360608e+01,7.400000000000000000e+01,8.274239999999999782e+02,5.232239999999999327e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804508860423069905e+01,6.847761590941632903e+01,7.500000000000000000e+01,8.274239999999999782e+02,5.232239999999999327e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804506888890618654e+01,6.847770408914884399e+01,7.600000000000000000e+01,8.274239999999999782e+02,5.232239999999999327e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804504954812301776e+01,6.847779402447508801e+01,7.700000000000000000e+01,8.274239999999999782e+02,5.205199999999999818e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804503168740546926e+01,6.847789098265599250e+01,7.800000000000000000e+01,8.274239999999999782e+02,5.205199999999999818e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804501265075842298e+01,6.847798249299151507e+01,7.900000000000000000e+01,8.274239999999999782e+02,5.205199999999999818e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804499502785269271e+01,6.847807814643091717e+01,8.000000000000000000e+01,8.274239999999999782e+02,5.205199999999999818e+02,3.210999999999999659e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804498497795486855e+01,6.847819835269226019e+01,8.100000000000000000e+01,8.274239999999999782e+02,5.198439999999999372e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804496838482059218e+01,6.847830042138373585e+01,8.200000000000000000e+01,8.274239999999999782e+02,5.198439999999999372e+02,3.204239999999999782e+02,1.784639999999999986e+02,5.205199999999999960e+01,nan
7.804495217510104510e+01,6.847840390949480138e+01,8.300000000000000000e+01,8.274239999999999782e+02,5.198439999999999372e+02,3.183959999999999582e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804493713122054999e+01,6.847851131786491408e+01,8.400000000000000000e+01,8.274239999999999782e+02,5.198439999999999372e+02,3.183959999999999582e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
7.804492418623128458e+01,6.847862454588735659e+01,8.500000000000000000e+01,8.274239999999999782e+02,5.198439999999999372e+02,3.190720000000000027e+02,1.791399999999999864e+02,5.205199999999999960e+01,nan
