# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth,Layer_7_depth,Layer_8_depth,Layer_9_depth
7.807209949999999310e+01,6.826061133333332975e+01,1.000000000000000000e+00,nan,4.174300000000000637e+02,3.336059999999999945e+02,2.575559999999999832e+02,1.821819999999999879e+02,1.233699999999999903e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807209239229888453e+01,6.826051189550767617e+01,2.000000000000000000e+00,6.536920000000000073e+02,4.170919999999999845e+02,3.336059999999999945e+02,2.555279999999999916e+02,1.821819999999999879e+02,1.233699999999999903e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807207317188330364e+01,6.826044672267909164e+01,3.000000000000000000e+00,6.536920000000000073e+02,4.194580000000000268e+02,3.332679999999999723e+02,2.555279999999999916e+02,1.821819999999999879e+02,1.233699999999999903e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807204712389496137e+01,6.826044244389117921e+01,4.000000000000000000e+00,6.536920000000000073e+02,4.194580000000000268e+02,3.336059999999999945e+02,2.555279999999999916e+02,1.821819999999999879e+02,1.233699999999999903e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807202466017821507e+01,6.826048704461960881e+01,5.000000000000000000e+00,6.533539999999999281e+02,4.194580000000000268e+02,3.325919999999999845e+02,2.558659999999999854e+02,1.821819999999999879e+02,1.237079999999999984e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807202320793727779e+01,6.826044997294107475e+01,6.000000000000000000e+00,6.533539999999999281e+02,4.194580000000000268e+02,3.336059999999999945e+02,2.558659999999999854e+02,1.825199999999999818e+02,1.240459999999999923e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807200389361166515e+01,6.826053594668017865e+01,7.000000000000000000e+00,6.533539999999999281e+02,4.184439999999999600e+02,3.336059999999999945e+02,2.555279999999999916e+02,1.828580000000000041e+02,1.243840000000000003e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807198317535602428e+01,6.826059714059860539e+01,8.000000000000000000e+00,6.533539999999999281e+02,4.177679999999999723e+02,3.336059999999999945e+02,2.555279999999999916e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807197034527987967e+01,6.826070188097914127e+01,9.000000000000000000e+00,6.533539999999999281e+02,4.184439999999999600e+02,3.336059999999999945e+02,2.572179999999999609e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807194470258536967e+01,6.826073096408127583e+01,1.000000000000000000e+01,6.533539999999999281e+02,4.177679999999999723e+02,3.336059999999999945e+02,2.582319999999999709e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807192059247631732e+01,6.826077728351616258e+01,1.100000000000000000e+01,6.530159999999999627e+02,4.184439999999999600e+02,3.332679999999999723e+02,2.578940000000000055e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807189658271248334e+01,6.826083460420255733e+01,1.200000000000000000e+01,6.530159999999999627e+02,4.187820000000000391e+02,3.332679999999999723e+02,2.582319999999999709e+02,1.835339999999999918e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807187387413405588e+01,6.826090248997856236e+01,1.300000000000000000e+01,6.530159999999999627e+02,4.167540000000000191e+02,3.339439999999999600e+02,2.565419999999999732e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807184959442319894e+01,6.826095032944093077e+01,1.400000000000000000e+01,6.530159999999999627e+02,4.167540000000000191e+02,3.339439999999999600e+02,2.565419999999999732e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807182691474098135e+01,6.826101984670094680e+01,1.500000000000000000e+01,6.530159999999999627e+02,4.167540000000000191e+02,3.339439999999999600e+02,2.568799999999999955e+02,1.831959999999999980e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807180415749770930e+01,6.826108820245524100e+01,1.600000000000000000e+01,6.530159999999999627e+02,4.174300000000000637e+02,3.339439999999999600e+02,2.575559999999999832e+02,1.828580000000000041e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807178122538245191e+01,6.826115338020971990e+01,1.700000000000000000e+01,6.530159999999999627e+02,4.177679999999999723e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.828580000000000041e+02,1.240459999999999923e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807175682281190632e+01,6.826120775878048619e+01,1.800000000000000000e+01,6.530159999999999627e+02,4.181060000000000514e+02,3.339439999999999600e+02,2.575559999999999832e+02,1.828580000000000041e+02,1.237079999999999984e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807173367051095170e+01,6.826127291579432210e+01,1.900000000000000000e+01,6.533539999999999281e+02,4.181060000000000514e+02,3.339439999999999600e+02,2.575559999999999832e+02,1.828580000000000041e+02,1.237079999999999984e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807171281640016502e+01,6.826135413951584496e+01,2.000000000000000000e+01,6.533539999999999281e+02,4.184439999999999600e+02,3.339439999999999600e+02,2.575559999999999832e+02,1.828580000000000041e+02,1.240459999999999923e+02,9.058399999999998897e+01,4.664400000000000546e+01,nan
7.807169035723492811e+01,6.826142514914896253e+01,2.100000000000000000e+01,6.533539999999999281e+02,4.187820000000000391e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.828580000000000041e+02,1.240459999999999923e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807166677432236668e+01,6.826148743271059516e+01,2.200000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.828580000000000041e+02,1.243840000000000003e+02,9.092199999999999704e+01,4.664400000000000546e+01,nan
7.807164556521126997e+01,6.826155842072805058e+01,2.300000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.831959999999999980e+02,1.250599999999999881e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807162265671347257e+01,6.826162407890053885e+01,2.400000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.831959999999999980e+02,1.250599999999999881e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807160116789577842e+01,6.826170160228711836e+01,2.500000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.572179999999999609e+02,1.835339999999999918e+02,1.247219999999999942e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
7.807157699849395271e+01,6.826175628965344799e+01,2.600000000000000000e+01,6.533539999999999281e+02,4.164159999999999968e+02,3.339439999999999600e+02,2.558659999999999854e+02,1.831959999999999980e+02,1.243840000000000003e+02,9.125999999999999091e+01,4.664400000000000546e+01,nan
