# lat,lon,tnum,Layer_1_depth,Layer_2_depth,Layer_3_depth,Layer_4_depth,Layer_5_depth,Layer_6_depth
7.808070016666667357e+01,6.830217366666667544e+01,1.000000000000000000e+00,nan,4.414279999999999973e+02,2.636399999999999864e+02,1.426359999999999957e+02,4.529199999999999449e+01,nan
7.808069256142326253e+01,6.830229725057712642e+01,2.000000000000000000e+00,nan,4.421039999999999850e+02,2.629639999999999986e+02,1.426359999999999957e+02,4.529199999999999449e+01,nan
7.808068447995816541e+01,6.830241233103970444e+01,3.000000000000000000e+00,nan,4.421039999999999850e+02,2.629639999999999986e+02,1.426359999999999957e+02,4.529199999999999449e+01,nan
7.808066365396820174e+01,6.830248850852362352e+01,4.000000000000000000e+00,6.854639999999999418e+02,4.421039999999999850e+02,2.629639999999999986e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808063742478320535e+01,6.830251564448705892e+01,5.000000000000000000e+00,6.854639999999999418e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808061074414294467e+01,6.830253087505765563e+01,6.000000000000000000e+00,6.854639999999999418e+02,4.407519999999999527e+02,2.649919999999999618e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808058404075926262e+01,6.830254575203024103e+01,7.000000000000000000e+00,6.854639999999999418e+02,4.407519999999999527e+02,2.656680000000000064e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808057450555902790e+01,6.830251978515502742e+01,8.000000000000000000e+00,6.854639999999999418e+02,4.407519999999999527e+02,2.656680000000000064e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808057461026267276e+01,6.830243183411400310e+01,9.000000000000000000e+00,6.854639999999999418e+02,4.407519999999999527e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808059740119689707e+01,6.830237424540993629e+01,1.000000000000000000e+01,6.854639999999999418e+02,4.407519999999999527e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808062380465908348e+01,6.830235502624766752e+01,1.100000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808065002798142018e+01,6.830237168542983284e+01,1.200000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808067616160451507e+01,6.830239840304886911e+01,1.300000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808070186083308784e+01,6.830243597872323846e+01,1.400000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808072795434375735e+01,6.830246724951778958e+01,1.500000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808075305270435251e+01,6.830251353794569980e+01,1.600000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808075996365137428e+01,6.830254559680571447e+01,1.700000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808076329406065952e+01,6.830253411762426197e+01,1.800000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808077692871577824e+01,6.830249570903303891e+01,1.900000000000000000e+01,6.854639999999999418e+02,4.407519999999999527e+02,2.649919999999999618e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808076631206816387e+01,6.830243871171069259e+01,2.000000000000000000e+01,6.854639999999999418e+02,4.407519999999999527e+02,2.649919999999999618e+02,1.433119999999999834e+02,4.529199999999999449e+01,nan
7.808074802104789569e+01,6.830252810981326661e+01,2.100000000000000000e+01,6.854639999999999418e+02,4.407519999999999527e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808072860814942828e+01,6.830261325182343057e+01,2.200000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808070830679993435e+01,6.830269754594851861e+01,2.300000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808068861989029585e+01,6.830278606194620750e+01,2.400000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.636399999999999864e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808066901753153388e+01,6.830287498302203630e+01,2.500000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.643159999999999741e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808064933979625266e+01,6.830296339935613048e+01,2.600000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808062958716439539e+01,6.830305159983620911e+01,2.700000000000000000e+01,6.854639999999999418e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808061550013457008e+01,6.830316127729933839e+01,2.800000000000000000e+01,6.847880000000001246e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808059516056226812e+01,6.830324585528282455e+01,2.900000000000000000e+01,6.847880000000001246e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808057493617342004e+01,6.830333069786237843e+01,3.000000000000000000e+01,6.847880000000001246e+02,4.407519999999999527e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808055229936238106e+01,6.830340087197660637e+01,3.100000000000000000e+01,6.847880000000001246e+02,4.407519999999999527e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808053291475569324e+01,6.830349062118138193e+01,3.200000000000000000e+01,6.847880000000001246e+02,4.407519999999999527e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808051363883518547e+01,6.830358118891268759e+01,3.300000000000000000e+01,6.847880000000001246e+02,4.407519999999999527e+02,2.629639999999999986e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808049272904533211e+01,6.830366295904059371e+01,3.400000000000000000e+01,6.841119999999999663e+02,4.414279999999999973e+02,2.629639999999999986e+02,1.446639999999999873e+02,4.529199999999999449e+01,nan
7.808046821874667387e+01,6.830371038542095619e+01,3.500000000000000000e+01,6.841119999999999663e+02,4.414279999999999973e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
7.808044570398254791e+01,6.830377961015507537e+01,3.600000000000000000e+01,6.841119999999999663e+02,4.427799999999999727e+02,2.622880000000000109e+02,1.439879999999999995e+02,4.529199999999999449e+01,nan
